path,title,id,category,priority,owner,target_volume,status,deps,word_count,headings,has_acceptance,has_dependencies,has_future,has_migration,has_engineering
HDR/00_PROJECT/README.md,00_PROJECT,,00_PROJECT,,,,,,37,1,False,False,False,False,False
HDR/00_PROJECT/Vision.md,Vision,,00_PROJECT,,,,,,120,3,False,False,False,False,False
HDR/00_PROJECT/Engineering_Decisions.md,Engineering Decisions,,00_PROJECT,,,,,,132,7,False,False,False,False,True
HDR/00_PROJECT/Roadmap.md,Roadmap,,00_PROJECT,,,,,,93,6,False,False,False,False,False
HDR/00_PROJECT/Glossary.md,Glossary,,00_PROJECT,,,,,,104,1,False,False,False,False,False
HDR/00_PROJECT/CHANGELOG.md,Changelog,,00_PROJECT,,,,,,33,2,False,False,False,False,True
HDR/00_PROJECT/Coverage_Audit_v0_2.md,Coverage Audit v0.2,,00_PROJECT,,,,,,368,12,False,False,True,False,True
HDR/00_PROJECT/CHANGELOG_v0_2.md,CHANGELOG v0.2,,00_PROJECT,,,,,,90,4,False,False,True,False,False
HDR/00_PROJECT/Coverage_Audit_v0_3.md,Coverage Audit v0.3,,00_PROJECT,,,,,,879,7,False,False,True,False,True
HDR/00_PROJECT/CHANGELOG_v0_3.md,HDR Changelog v0.3,,00_PROJECT,,,,,,43,1,False,False,False,False,False
HDR/00_PROJECT/CHANGELOG_v0_4.md,CHANGELOG — HDR v0.4 Phase Recovery Release,,00_PROJECT,,,,,,191,6,False,False,False,False,False
HDR/00_PROJECT/Coverage_Audit_v0_4_Phase_0_2.md,Coverage Audit — v0.4 Phase 0.1 through 2.0,,00_PROJECT,,,,,,104,5,False,False,False,False,False
HDR/00_PROJECT/Coverage_Audit_v0_4_Phase_2_3.md,Coverage Audit v0.4 — Phase 2.0–3.0,,00_PROJECT,,,,COMPLETE,,98,4,False,False,False,False,False
HDR/00_PROJECT/CHANGELOG_v0_5.md,CHANGELOG — HDR v0.5 Phase 0–4,,00_PROJECT,,,,,,91,4,False,False,False,False,True
HDR/00_PROJECT/Coverage_Audit_v0_5_Phase_3_4.md,Coverage Audit — HDR v0.5 Phase 3.0 → 4.0,,00_PROJECT,,,,,,127,4,False,False,True,False,True
HDR/00_PROJECT/Coverage_Audit_v0_7_corrected_Phase_5_6.md,Coverage Audit v0.7 Corrected — Phase 5.0 to Phase 6.0,,00_PROJECT,,,,,,105,5,False,False,False,False,False
HDR/00_PROJECT/CHANGELOG_v0_7_corrected.md,CHANGELOG — HDR v0.7 Corrected,,00_PROJECT,,,,,,76,4,False,False,False,False,False
HDR/00_PROJECT/Master_Index_Supplement_v0_8.md,Master Index Supplement v0.8 — Phase 6.0 to 7.x,,00_PROJECT,,,,,,1508,1,False,False,True,False,True
