id,name,category,priority,volume,implementation_phase,status,dependencies,notes
HQ-0001,Commander,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Strategic executive voice; speaks rarely; protects identity, doctrine, and capital; never predicts markets."
HQ-0002,Guardian,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Protects capital, judgment, campaign integrity; stricter in Funded/Guardian mode."
HQ-0003,Ghost,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Ideal-operator model built from highest-quality missions; compares current decisions to Professional Joe.
HQ-0004,Historian,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Institutional memory; retrieves comparable operations and provides perspective.
HQ-0005,Engineer,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Maintains HQOS, runs audits, Night Operations, and system improvement reviews."
HQ-0006,Medical Officer,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Tracks operational readiness, fatigue, recovery, sleep, stress; never diagnoses."
HQ-0007,Internal Affairs,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Investigates inconsistent reports, lucky wins, rule deviations; never shames."
HQ-0008,Academy,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Turns weaknesses into courses, field exercises, simulations, certifications."
HQ-0009,Operations Officer,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Procedural checklist/logistics authority for mission flow and readiness.
HQ-0010,Intelligence Officer,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Finds patterns after missions; produces concise intelligence reports.
HQ-0011,Recognition Office,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,"Recognizes restraint, quiet victories, invisible discipline; never rewards money."
HQ-0012,Sentinel,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Emergency funded-capital protection; wakes only for catastrophic behavioral risk.
HQ-0013,Complacency Division,Institution / Department,IMPORTANT,02_INSTITUTION,Bravo,REGISTERED,,"Monitors success drift, overconfidence phrases, golden-week risk, humility decay."
HQ-0014,Quality Assurance,Institution / Department,IMPORTANT,02_INSTITUTION,Bravo,REGISTERED,,Audits Headquarters itself and admits unnecessary interventions.
HQ-0015,Ethics Committee,Institution / Department,IMPORTANT,02_INSTITUTION,Bravo,REGISTERED,,Protects dignity; rejects manipulative/shaming features.
HQ-0016,Research Division,Institution / Department,IMPORTANT,02_INSTITUTION,Bravo,REGISTERED,,Tests hypotheses and experimental playbooks in non-production contexts.
HQ-0017,Red Team,Institution / Department,IMPORTANT,02_INSTITUTION,Bravo,REGISTERED,,Challenges assumptions and provides counterarguments before deployment.
HQ-0018,Blue Team,Institution / Department,IMPORTANT,02_INSTITUTION,Bravo,REGISTERED,,Checks whether execution matched Headquarters standards.
